subtitle,stim_dur
"I reached over and secretly undid my seatbelt. And when his foot hit the break at the red light, I flung open the door and I ran. \nI had no shoes on. I was crying. I had no wallet, but I was ok, because I had my cigarettes. \nAnd I didn't want any part of the freedom if I didn't have my cigarettes.",10
"When you live with someone who has a temper. A very bad temper. A very very bad temper. You learn to play around that. \nYou learn this time I will play possum. And next time I will just be real nice, or I'll say yes to everything. Or you make yourself scarce or you run. \nAnd this was one of the times when you just run.",10
""
""
"Just then, as if an answer, I see a figure up ahead. Who is that? It's not him, okay? They don't have a dog. Who is that? What are they doing out on this suburban street? \nAnd the person comes closer, and I can see it's a woman. And then I can see she has her hands in her face. Oh, she's crying. And then she sees me \nand she composes herself. And she gets closer, and I see she has no shoes on. She has no shoes on, and she's crying, and she's out on the street",10
""
""
""
""
